#,Name,Type 1,Type 2,HP,Attack,Defense,SpAtk,SpDef,Speed,Total
37,Vulpix,Fire,-,38,41,40,50,65,65,299
38,Ninetales,Fire,-,73,76,75,81,100,100,505
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435
41,Zubat,Poison,Flying,40,45,35,30,40,55,245
42,Golbat,Poison,Flying,75,80,70,65,75,90,455
43,Oddish,Grass,Poison,45,50,55,75,65,30,320
44,Gloom,Grass,Poison,60,65,70,85,75,40,395
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490
46,Paras,Bug,Grass,35,70,55,45,55,25,285
47,Parasect,Bug,Grass,60,95,80,60,80,30,405
48,Venonat,Bug,Poison,60,55,50,40,55,45,305
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450
50,Diglett,Ground,-,10,55,25,35,45,95,265
51,Dugtrio,Ground,-,35,80,50,50,70,120,405
52,Meowth,Normal,-,40,45,35,40,40,90,290
53,Persian,Normal,-,65,70,60,65,65,115,440
54,Psyduck,Water,-,50,52,48,65,50,55,320
55,Golduck,Water,-,80,82,78,95,80,85,500
56,Mankey,Fighting,-,40,80,35,35,45,70,305
57,Primeape,Fighting,-,65,105,60,60,70,95,455
58,Growlithe,Fire,-,55,70,45,70,50,60,350
59,Arcanine,Fire,-,90,110,80,100,80,95,555
60,Poliwag,Water,-,40,50,40,40,40,90,300
61,Poliwhirl,Water,-,65,65,65,50,50,90,385
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510
63,Abra,Psychic,-,25,20,15,105,55,90,310
64,Kadabra,Psychic,-,40,35,30,120,70,105,400
65,Alakazam,Psychic,-,55,50,45,135,95,120,500
65,Mega Alakazam,Psychic,-,55,50,65,175,95,150,590
66,Machop,Fighting,-,70,80,50,35,35,35,305
67,Machoke,Fighting,-,80,100,70,50,60,45,405
68,Machamp,Fighting,-,90,130,80,65,85,55,505
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490
72,Tentacool,Water,Poison,40,40,35,50,100,70,335
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515
74,Geodude,Rock,Ground,40,80,100,30,30,20,300
75,Graveler,Rock,Ground,55,95,115,45,45,35,390
76,Golem,Rock,Ground,80,120,130,55,65,45,495
77,Ponyta,Fire,-,50,85,55,65,65,90,410
78,Rapidash,Fire,-,65,100,70,80,80,105,500
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490
80,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,590
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325
82,Magneton,Electric,Steel,50,60,95,120,70,70,465
83,Farfetch'd,Normal,Flying,52,65,55,58,62,60,352
84,Doduo,Normal,Flying,35,85,45,35,35,75,310
85,Dodrio,Normal,Flying,60,110,70,60,60,100,460
86,Seel,Water,-,65,45,55,45,70,45,325
87,Dewgong,Water,Ice,90,70,80,70,95,70,475
88,Grimer,Poison,-,80,80,50,40,50,25,325
89,Muk,Poison,-,105,105,75,65,100,50,500
90,Shellder,Water,-,30,65,100,45,25,40,305
91,Cloyster,Water,Ice,50,95,180,85,45,70,525
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500
94,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,600
95,Onix,Rock,Ground,35,45,160,30,45,70,385
96,Drowzee,Psychic,-,60,48,45,43,90,42,328
97,Hypno,Psychic,-,85,73,70,73,115,67,483
98,Krabby,Water,-,30,105,90,25,25,50,325
99,Kingler,Water,-,55,130,115,50,50,75,475
100,Voltorb,Electric,-,40,30,50,55,55,100,330
101,Electrode,Electric,-,60,50,70,80,80,140,480
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,520
104,Cubone,Ground,-,50,50,95,40,50,35,320
105,Marowak,Ground,-,60,80,110,50,80,45,425
106,Hitmonlee,Fighting,-,50,120,53,35,110,87,455
107,Hitmonchan,Fighting,-,50,105,79,35,110,76,455
108,Lickitung,Normal,-,90,55,75,60,75,30,385
109,Koffing,Poison,-,40,65,95,60,45,35,340
110,Weezing,Poison,-,65,90,120,85,70,60,490
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485
113,Chansey,Normal,-,250,5,5,35,105,50,450
114,Tangela,Grass,-,65,55,115,100,40,60,435
115,Kangaskhan,Normal,-,105,95,80,40,80,90,490
115,Mega Kangaskhan,Normal,-,105,125,100,60,100,100,590
116,Horsea,Water,-,30,40,70,70,25,60,295
117,Seadra,Water,-,55,65,95,95,45,85,440
118,Goldeen,Water,-,45,67,60,35,50,63,320
119,Seaking,Water,-,80,92,65,65,80,68,450
120,Staryu,Water,-,30,45,55,70,55,85,340
121,Starmie,Water,Psychic,60,75,85,100,85,115,520
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460
123,Scyther,Bug,Flying,70,110,80,55,80,105,500
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455
125,Electabuzz,Electric,-,65,83,57,95,85,105,490
126,Magmar,Fire,-,65,95,57,100,85,93,495
127,Pinsir,Bug,-,65,125,100,55,70,85,500
127,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,600
128,Tauros,Normal,-,75,100,95,40,70,110,490
129,Magikarp,Water,-,20,10,55,15,20,80,200
130,Gyarados,Water,Flying,95,125,79,60,100,81,540
130,Mega Gyarados,Water,Dark,95,155,109,70,130,81,640
131,Lapras,Water,Ice,130,85,80,85,95,60,535
132,Ditto,Normal,-,48,48,48,48,48,48,288
133,Eevee,Normal,-,55,55,50,45,65,55,325
134,Vaporeon,Water,-,130,65,60,110,95,65,525
135,Jolteon,Electric,-,65,65,60,110,95,130,525
136,Flareon,Fire,-,65,130,60,95,110,65,525
137,Porygon,Normal,-,65,60,70,85,75,40,395
138,Omanyte,Rock,Water,35,40,100,90,55,35,355
139,Omastar,Rock,Water,70,60,125,115,70,55,495
140,Kabuto,Rock,Water,30,80,90,55,45,55,355
141,Kabutops,Rock,Water,60,115,105,65,70,80,495
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515
142,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,615
143,Snorlax,Normal,-,160,110,65,65,110,30,540
144,Articuno,Ice,Flying,90,85,100,95,125,85,580
145,Zapdos,Electric,Flying,90,90,85,125,90,100,580
146,Moltres,Fire,Flying,90,100,90,125,85,90,580
147,Dratini,Dragon,-,41,64,45,50,50,50,300
148,Dragonair,Dragon,-,61,84,65,70,70,70,420
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600
150,Mewtwo,Psychic,-,106,110,90,154,90,130,680
150,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,780
150,Mega Mewtwo Y,Psychic,-,106,150,70,194,120,140,780
151,Mew,Psychic,-,100,100,100,100,100,100,600
152,Chikorita,Grass,-,45,49,65,49,65,45,318
153,Bayleef,Grass,-,60,62,80,63,80,60,405
154,Meganium,Grass,-,80,82,100,83,100,80,525
155,Cyndaquil,Fire,-,39,52,43,60,50,65,309
156,Quilava,Fire,-,58,64,58,80,65,80,405
157,Typhlosion,Fire,-,78,84,78,109,85,100,534
158,Totodile,Water,-,50,65,64,44,48,43,314
159,Croconaw,Water,-,65,80,80,59,63,58,405
160,Feraligatr,Water,-,85,105,100,79,83,78,530
161,Sentret,Normal,-,35,46,34,35,45,20,215
162,Furret,Normal,-,85,76,64,45,55,90,415
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262
164,Noctowl,Normal,Flying,100,50,50,76,96,70,442
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265
166,Ledian,Bug,Flying,55,35,50,55,110,85,390
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250
168,Ariados,Bug,Poison,70,90,70,60,60,40,390
169,Crobat,Poison,Flying,85,90,80,70,80,130,535
170,Chinchou,Water,Electric,75,38,38,56,56,67,330
171,Lanturn,Water,Electric,125,58,58,76,76,67,460
172,Pichu,Electric,-,20,40,15,35,35,60,205
173,Cleffa,Fairy,-,50,25,28,45,55,15,218
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,210
175,Togepi,Fairy,-,35,20,65,40,65,20,245
176,Togetic,Fairy,Flying,55,40,85,80,105,40,405
177,Natu,Psychic,Flying,40,50,45,70,45,70,320
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470
179,Mareep,Electric,-,55,40,40,65,45,35,280
180,Flaaffy,Electric,-,70,55,55,80,60,45,365
181,Ampharos,Electric,-,90,75,85,115,90,55,510
181,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,610
182,Bellossom,Grass,-,75,80,95,90,100,50,490
183,Marill,Water,Fairy,70,20,50,20,50,40,250
184,Azumarill,Water,Fairy,100,50,80,60,80,50,420
185,Sudowoodo,Rock,-,70,100,115,30,65,30,410
186,Politoed,Water,-,90,75,75,90,100,70,500
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460
190,Aipom,Normal,-,55,70,55,40,55,85,360
191,Sunkern,Grass,-,30,30,30,30,30,30,180
192,Sunflora,Grass,-,75,75,55,105,85,30,425
193,Yanma,Bug,Flying,65,65,45,75,45,95,390
194,Wooper,Water,Ground,55,45,45,25,25,15,210
195,Quagsire,Water,Ground,95,85,85,65,65,35,430
196,Espeon,Psychic,-,65,65,60,130,95,110,525
197,Umbreon,Dark,-,95,65,110,60,130,65,525
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405
199,Slowking,Water,Psychic,95,75,80,100,110,30,490
200,Misdreavus,Ghost,-,60,60,60,85,85,85,435
201,Unown,Psychic,-,48,72,48,72,48,48,336
202,Wobbuffet,Psychic,-,190,33,58,33,58,33,405
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455
204,Pineco,Bug,-,50,65,90,35,35,15,290
205,Forretress,Bug,Steel,75,90,140,60,60,40,465
206,Dunsparce,Normal,-,100,70,70,65,65,45,415
207,Gligar,Ground,Flying,65,75,105,35,65,85,430
208,Steelix,Steel,Ground,75,85,200,55,65,30,510
208,Mega Steelix,Steel,Ground,75,125,230,55,95,30,610
209,Snubbull,Fairy,-,60,80,50,40,40,30,300
210,Granbull,Fairy,-,90,120,75,60,60,45,450
211,Qwilfish,Water,Poison,65,95,75,55,55,85,430
212,Scizor,Bug,Steel,70,130,100,55,80,65,500
212,Mega Scizor,Bug,Steel,70,150,140,65,100,75,600
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500
214,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,600
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430
216,Teddiursa,Normal,-,60,80,50,50,50,40,330
217,Ursaring,Normal,-,90,130,75,75,75,55,500
218,Slugma,Fire,-,40,40,40,70,40,20,250
219,Magcargo,Fire,Rock,50,50,120,80,80,30,410
220,Swinub,Ice,Ground,50,50,40,30,30,50,250
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450
222,Corsola,Water,Rock,55,55,85,65,85,35,380
223,Remoraid,Water,-,35,65,35,65,35,65,300
224,Octillery,Water,-,75,105,75,105,75,45,480
225,Delibird,Ice,Flying,45,55,45,65,45,75,330
226,Mantine,Water,Flying,65,40,70,80,140,70,465
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465
228,Houndour,Dark,Fire,45,60,30,80,50,65,330
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500
229,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,600
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540
231,Phanpy,Ground,-,90,60,60,40,40,40,330
232,Donphan,Ground,-,90,120,120,60,60,50,500
233,Porygon2,Normal,-,85,80,90,105,95,60,515
234,Stantler,Normal,-,73,95,62,85,65,85,465
235,Smeargle,Normal,-,55,20,35,20,45,75,250
236,Tyrogue,Fighting,-,35,35,35,35,35,35,210
237,Hitmontop,Fighting,-,50,95,95,35,110,70,455
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305
239,Elekid,Electric,-,45,63,37,65,55,95,360
240,Magby,Fire,-,45,75,37,70,55,83,365
241,Miltank,Normal,-,95,80,105,40,70,100,490
242,Blissey,Normal,-,255,10,10,75,135,55,540
243,Raikou,Electric,-,90,85,75,115,100,115,580
244,Entei,Fire,-,115,115,85,90,75,100,580
245,Suicune,Water,-,100,75,115,90,115,85,580
246,Larvitar,Rock,Ground,50,64,50,45,50,41,300
247,Pupitar,Rock,Ground,70,84,70,65,70,51,410
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600
248,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,700
249,Lugia,Psychic,Flying,106,90,130,90,154,110,680
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,680
251,Celebi,Psychic,Grass,100,100,100,100,100,100,600
252,Treecko,Grass,-,40,45,35,65,55,70,310
253,Grovyle,Grass,-,50,65,45,85,65,95,405
254,Sceptile,Grass,-,70,85,65,105,85,120,530
254,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,630
255,Torchic,Fire,-,45,60,40,70,50,45,310
256,Combusken,Fire,Fighting,60,85,60,85,60,55,405
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,530
257,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,630
258,Mudkip,Water,-,50,70,50,50,50,40,310
259,Marshtomp,Water,Ground,70,85,70,60,70,50,405
260,Swampert,Water,Ground,100,110,90,85,90,60,535
260,Mega Swampert,Water,Ground,100,150,110,95,110,70,635
261,Poochyena,Dark,-,35,55,35,30,30,35,220
262,Mightyena,Dark,-,70,90,70,60,60,70,420
263,Zigzagoon,Normal,-,38,30,41,30,41,60,240
264,Linoone,Normal,-,78,70,61,50,61,100,420
265,Wurmple,Bug,-,45,45,35,20,30,20,195
266,Silcoon,Bug,-,50,35,55,25,25,15,205
267,Beautifly,Bug,Flying,60,70,50,100,50,65,395
268,Cascoon,Bug,-,50,35,55,25,25,15,205
269,Dustox,Bug,Poison,60,50,70,50,90,65,385
270,Lotad,Water,Grass,40,30,30,40,50,30,220
271,Lombre,Water,Grass,60,50,50,60,70,50,340
272,Ludicolo,Water,Grass,80,70,70,90,100,70,480
273,Seedot,Grass,-,40,40,50,30,30,30,220
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,340
275,Shiftry,Grass,Dark,90,100,60,90,60,80,480
276,Taillow,Normal,Flying,40,55,30,30,30,85,270
277,Swellow,Normal,Flying,60,85,60,50,50,125,430
278,Wingull,Water,Flying,40,30,30,55,30,85,270
279,Pelipper,Water,Flying,60,50,100,85,70,65,430
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518
282,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,618
283,Surskit,Bug,Water,40,30,32,50,52,65,269
284,Masquerain,Bug,Flying,70,60,62,80,82,60,414
285,Shroomish,Grass,-,60,40,60,40,60,35,295
286,Breloom,Grass,Fighting,60,130,80,60,60,70,460
287,Slakoth,Normal,-,60,60,60,35,35,30,280
288,Vigoroth,Normal,-,80,80,80,55,55,90,440
289,Slaking,Normal,-,150,160,100,95,65,100,670
290,Nincada,Bug,Ground,31,45,90,30,30,40,266
291,Ninjask,Bug,Flying,61,90,45,50,50,160,456
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236
293,Whismur,Normal,-,64,51,23,51,23,28,240
294,Loudred,Normal,-,84,71,43,71,43,48,360
295,Exploud,Normal,-,104,91,63,91,73,68,490
296,Makuhita,Fighting,-,72,60,30,20,30,25,237
297,Hariyama,Fighting,-,144,120,60,40,60,50,474
298,Azurill,Normal,Fairy,50,20,40,20,40,20,190
299,Nosepass,Rock,-,30,45,135,45,90,30,375
300,Skitty,Normal,-,50,45,45,35,35,50,260
301,Delcatty,Normal,-,70,65,65,55,55,70,380
302,Sableye,Dark,Ghost,50,75,75,65,65,50,380
302,Mega Sableye,Dark,Ghost,50,85,125,85,115,20,480
303,Mawile,Steel,Fairy,50,85,85,55,55,50,380
303,Mega Mawile,Steel,Fairy,50,105,125,55,95,50,480
304,Aron,Steel,Rock,50,70,100,40,40,30,330
305,Lairon,Steel,Rock,60,90,140,50,50,40,430
306,Aggron,Steel,Rock,70,110,180,60,60,50,530
306,Mega Aggron,Steel,-,70,140,230,60,80,50,630
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,280
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,410
308,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,510
309,Electrike,Electric,-,40,45,40,65,40,65,295
310,Manectric,Electric,-,70,75,60,105,60,105,475
310,Mega Manectric,Electric,-,70,75,80,135,80,135,575
311,Plusle,Electric,-,60,50,40,85,75,95,405
312,Minun,Electric,-,60,40,50,75,85,95,405
313,Volbeat,Bug,-,65,73,55,47,75,85,400
314,Illumise,Bug,-,65,47,55,73,75,85,400
315,Roselia,Grass,Poison,50,60,45,100,80,65,400
316,Gulpin,Poison,-,70,43,53,43,53,40,302
317,Swalot,Poison,-,100,73,83,73,83,55,467
318,Carvanha,Water,Dark,45,90,20,65,20,65,305
319,Sharpedo,Water,Dark,70,120,40,95,40,95,460
319,Mega Sharpedo,Water,Dark,70,140,70,110,65,105,560
320,Wailmer,Water,-,130,70,35,70,35,60,400
321,Wailord,Water,-,170,90,45,90,45,60,500
322,Numel,Fire,Ground,60,60,40,65,45,35,305
323,Camerupt,Fire,Ground,70,100,70,105,75,40,460
323,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,560
324,Torkoal,Fire,-,70,85,140,85,70,20,470
325,Spoink,Psychic,-,60,25,35,70,80,60,330
326,Grumpig,Psychic,-,80,45,65,90,110,80,470
327,Spinda,Normal,-,60,60,60,60,60,60,360
328,Trapinch,Ground,-,45,100,45,45,45,10,290
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,340
330,Flygon,Ground,Dragon,80,100,80,80,80,100,520
331,Cacnea,Grass,-,50,85,40,85,40,35,335
332,Cacturne,Grass,Dark,70,115,60,115,60,55,475
333,Swablu,Normal,Flying,45,40,60,40,75,50,310
334,Altaria,Dragon,Flying,75,70,90,70,105,80,490
334,Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,590
335,Zangoose,Normal,-,73,115,60,60,60,90,458
336,Seviper,Poison,-,73,100,60,100,60,65,458
337,Lunatone,Rock,Psychic,70,55,65,95,85,70,440
338,Solrock,Rock,Psychic,70,95,85,55,65,70,440
339,Barboach,Water,Ground,50,48,43,46,41,60,288
340,Whiscash,Water,Ground,110,78,73,76,71,60,468
341,Corphish,Water,-,43,80,65,50,35,35,308
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,468
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,300
344,Claydol,Ground,Psychic,60,70,105,70,120,75,500
345,Lileep,Rock,Grass,66,41,77,61,87,23,355
346,Cradily,Rock,Grass,86,81,97,81,107,43,495
347,Anorith,Rock,Bug,45,95,50,40,50,75,355
348,Armaldo,Rock,Bug,75,125,100,70,80,45,495
349,Feebas,Water,-,20,15,20,10,55,80,200
350,Milotic,Water,-,95,60,79,100,125,81,540
351,Castform,Normal,-,70,70,70,70,70,70,420
352,Kecleon,Normal,-,60,90,70,60,120,40,440
353,Shuppet,Ghost,-,44,75,35,63,33,45,295
354,Banette,Ghost,-,64,115,65,83,63,65,455
354,Mega Banette,Ghost,-,64,165,75,93,83,75,555
355,Duskull,Ghost,-,20,40,90,30,90,25,295
356,Dusclops,Ghost,-,40,70,130,60,130,25,455
357,Tropius,Grass,Flying,99,68,83,72,87,51,460
358,Chimecho,Psychic,-,65,50,70,95,80,65,425
359,Absol,Dark,-,65,130,60,75,60,75,465
359,Mega Absol,Dark,-,65,150,60,115,60,115,565
360,Wynaut,Psychic,-,95,23,48,23,48,23,260
361,Snorunt,Ice,-,50,50,50,50,50,50,300
362,Glalie,Ice,-,80,80,80,80,80,80,480
362,Mega Glalie,Ice,-,80,120,80,120,80,100,580
363,Spheal,Ice,Water,70,40,50,55,50,25,290
364,Sealeo,Ice,Water,90,60,70,75,70,45,410
365,Walrein,Ice,Water,110,80,90,95,90,65,530
366,Clamperl,Water,-,35,64,85,74,55,32,345
367,Huntail,Water,-,55,104,105,94,75,52,485
368,Gorebyss,Water,-,55,84,105,114,75,52,485
369,Relicanth,Water,Rock,100,90,130,45,65,55,485
370,Luvdisc,Water,-,43,30,55,40,65,97,330
371,Bagon,Dragon,-,45,75,60,40,30,50,300
372,Shelgon,Dragon,-,65,95,100,60,50,50,420
373,Salamence,Dragon,Flying,95,135,80,110,80,100,600
373,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,700
374,Beldum,Steel,Psychic,40,55,80,35,60,30,300
375,Metang,Steel,Psychic,60,75,100,55,80,50,420
376,Metagross,Steel,Psychic,80,135,130,95,90,70,600
376,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,700
377,Regirock,Rock,-,80,100,200,50,100,50,580
378,Regice,Ice,-,80,50,100,100,200,50,580
379,Registeel,Steel,-,80,75,150,75,150,50,580
380,Latias,Dragon,Psychic,80,80,90,110,130,110,600
380,Mega Latias,Dragon,Psychic,80,100,120,140,150,110,700
381,Latios,Dragon,Psychic,80,90,80,130,110,110,600
381,Mega Latios,Dragon,Psychic,80,130,100,160,120,110,700
382,Kyogre,Water,-,100,100,90,150,140,90,670
382,KyogrePrimal Kyogre,Water,-,100,150,90,180,160,90,770
383,Groudon,Ground,-,100,150,140,100,90,90,670
383,GroudonPrimal Groudon,Ground,Fire,100,180,160,150,90,90,770
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680
384,Mega Rayquaza,Dragon,Flying,105,180,100,180,100,115,780
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600
386,Deoxys Normal,Psychic,-,50,150,50,150,50,150,600
386,Deoxys Attack,Psychic,-,50,180,20,180,20,150,600
386,Deoxys Defense,Psychic,-,50,70,160,70,160,90,600
386,Deoxys Speed,Psychic,-,50,95,90,95,90,180,600
387,Turtwig,Grass,-,55,68,64,45,55,31,318
388,Grotle,Grass,-,75,89,85,55,65,36,405
389,Torterra,Grass,Ground,95,109,105,75,85,56,525
390,Chimchar,Fire,-,44,58,44,58,44,61,309
391,Monferno,Fire,Fighting,64,78,52,78,52,81,405
392,Infernape,Fire,Fighting,76,104,71,104,71,108,534
393,Piplup,Water,-,53,51,53,61,56,40,314
394,Prinplup,Water,-,64,66,68,81,76,50,405
395,Empoleon,Water,Steel,84,86,88,111,101,60,530
396,Starly,Normal,Flying,40,55,30,30,30,60,245
397,Staravia,Normal,Flying,55,75,50,40,40,80,340
398,Staraptor,Normal,Flying,85,120,70,50,60,100,485
399,Bidoof,Normal,-,59,45,40,35,40,31,250
400,Bibarel,Normal,Water,79,85,60,55,60,71,410
401,Kricketot,Bug,-,37,25,41,25,41,25,194
402,Kricketune,Bug,-,77,85,51,55,51,65,384
403,Shinx,Electric,-,45,65,34,40,34,45,263
404,Luxio,Electric,-,60,85,49,60,49,60,363
405,Luxray,Electric,-,80,120,79,95,79,70,523
406,Budew,Grass,Poison,40,30,35,50,70,55,280
407,Roserade,Grass,Poison,60,70,65,125,105,90,515
408,Cranidos,Rock,-,67,125,40,30,30,58,350
409,Rampardos,Rock,-,97,165,60,65,50,58,495
410,Shieldon,Rock,Steel,30,42,118,42,88,30,350
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,495
412,Burmy,Bug,-,40,29,45,29,45,36,224
413,WormadamPlant Cloak,Bug,Grass,60,59,85,79,105,36,424
413,WormadamSandy Cloak,Bug,Ground,60,79,105,59,85,36,424
413,WormadamTrash Cloak,Bug,Steel,60,69,95,69,95,36,424
414,Mothim,Bug,Flying,70,94,50,94,50,66,424
415,Combee,Bug,Flying,30,30,42,30,42,70,244
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474
417,Pachirisu,Electric,-,60,45,70,45,90,95,405
418,Buizel,Water,-,55,65,35,60,30,85,330
419,Floatzel,Water,-,85,105,55,85,50,115,495
420,Cherubi,Grass,-,45,35,45,62,53,35,275
421,Cherrim,Grass,-,70,60,70,87,78,85,450
422,Shellos,Water,-,76,48,48,57,62,34,325
423,Gastrodon,Water,Ground,111,83,68,92,82,39,475
424,Ambipom,Normal,-,75,100,66,60,66,115,482
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498
427,Buneary,Normal,-,55,66,44,44,56,85,350
428,Lopunny,Normal,-,65,76,84,54,96,105,480
428,Mega Lopunny,Normal,Fighting,65,136,94,54,96,135,580
